# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.099       0.19  De Bilt
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20140217,   60
  260,20140218,   60
  260,20140219,   78
  260,20140220,   82
  260,20140221,   70
  260,20140222,   66
  260,20140223,   75
  260,20140224,   78
  260,20140225,   87
  260,20140226,   67
  260,20140227,   49
  260,20140228,   54
  260,20140301,   59
  260,20140302,   62
  260,20140303,   49
  260,20140304,   52
  260,20140305,   56
  260,20140306,   65
  260,20140307,   78
  260,20140308,   87
  260,20140309,  113
  260,20140310,   98
  260,20140311,   93
  260,20140312,   83
  260,20140313,   79
  260,20140314,   67
  260,20140315,   99
  260,20140316,  105
  260,20140317,  102
  260,20140318,   93
  260,20140319,  113
  260,20140320,  129
  260,20140321,   78
  260,20140322,   66
  260,20140323,   52
  260,20140324,   56
  260,20140325,   48
  260,20140326,   45
  260,20140327,   86
  260,20140328,  110
  260,20140329,  115
  260,20140330,  123
  260,20140331,  147
  260,20140401,  127
  260,20140402,  137
  260,20140403,  152
  260,20140404,  130
  260,20140405,  119
  260,20140406,  131
  260,20140407,  156
  260,20140408,   91
  260,20140409,  107
  260,20140410,  121
  260,20140411,  113
  260,20140412,   99
  260,20140413,  105
  260,20140414,   89
  260,20140415,   72
  260,20140416,   74
  260,20140417,  109
  260,20140418,   86
  260,20140419,  112
  260,20140420,  155
  260,20140421,  124
  260,20140422,  125
  260,20140423,  134
  260,20140424,  136
  260,20140425,  171
  260,20140426,  142
  260,20140427,  116
  260,20140428,  132
  260,20140429,  138
  260,20140430,  131
  260,20140501,  130
  260,20140502,  100
  260,20140503,   84
  260,20140504,   79
  260,20140505,  122
  260,20140506,  146
  260,20140507,  127
  260,20140508,  122
  260,20140509,  125
  260,20140510,  116
  260,20140511,  102
  260,20140512,  108
  260,20140513,  103
  260,20140514,   96
  260,20140515,  101
  260,20140516,  121
  260,20140517,  142
  260,20140518,  159
  260,20140519,  184
  260,20140520,  199
  260,20140521,  181
  260,20140522,  182
  260,20140523,  164
  260,20140524,  150
  260,20140525,  160
  260,20140526,  158
  260,20140527,  156
  260,20140528,  131
  260,20140529,  104
  260,20140530,  119
  260,20140531,  133
  260,20140601,  135
  260,20140602,  140
  260,20140603,  151
  260,20140604,  146
  260,20140605,  130
  260,20140606,  163
  260,20140607,  210
  260,20140608,  200
  260,20140609,  216
