"","prop_id","srch_id","date_time","site_id","visitor_location_country_id","visitor_hist_starrating","visitor_hist_adr_usd","prop_country_id","prop_starrating","prop_review_score","prop_brand_bool","prop_location_score1","prop_location_score2","prop_log_historical_price","position","price_usd","promotion_flag","srch_destination_id","srch_length_of_stay","srch_booking_window","srch_adults_count","srch_children_count","srch_room_count","srch_saturday_night_bool","srch_query_affinity_score","orig_destination_distance","random_bool","comp1_rate","comp1_inv","comp1_rate_percent_diff","comp2_rate","comp2_inv","comp2_rate_percent_diff","comp3_rate","comp3_inv","comp3_rate_percent_diff","comp4_rate","comp4_inv","comp4_rate_percent_diff","comp5_rate","comp5_inv","comp5_rate_percent_diff","comp6_rate","comp6_inv","comp6_rate_percent_diff","comp7_rate","comp7_inv","comp7_rate_percent_diff","comp8_rate","comp8_inv","comp8_rate_percent_diff","click_bool","gross_bookings_usd","booking_bool","min_date","max_date","avg_hist_starrating","avg_hist_adr_usd","nr_searches","avg_prop_starrating","avg_prop_review_score","avg_prop_location_score1","avg_prop_location_score2","avg_prop_log_historical_price","avg_price_usd","avg_srch_query_affinity_score","std_prop_starrating","std_prop_review_score","std_prop_location_score1","std_prop_location_score2","std_prop_log_historical_price","std_price_usd","std_srch_query_affinity_score","median_prop_starrating","median_prop_review_score","median_prop_location_score1","median_prop_location_score2","median_prop_log_historical_price","median_price_usd","median_srch_query_affinity_score","click_prob","book_prob","day","month","site_id_exp","visitor_location_country_id_exp","prop_country_id_exp","prop_id_exp","prop_starrating_exp","prop_review_score_exp","srch_destination_id_exp","srch_length_of_stay_exp","srch_adults_count_exp","srch_room_count_exp","day_exp","month_exp","pos_exp","price_diff","stars_diff","price_usd_norm_by_srch_id","price_usd_norm_by_prop_country_id","price_usd_norm_by_prop_id","prop_starrating_norm_by_srch_id","prop_starrating_norm_by_prop_country_id","prop_starrating_norm_by_prop_id","prop_location_score1_norm_by_srch_id","prop_location_score1_norm_by_prop_country_id","prop_location_score1_norm_by_prop_id","prop_review_score_norm_by_srch_id","prop_review_score_norm_by_prop_country_id","prop_review_score_norm_by_prop_id","prop_log_historical_price_norm_by_srch_id","prop_log_historical_price_norm_by_prop_country_id","prop_log_historical_price_norm_by_prop_id","comp_rate","comp_inv","comp_rate_percent_diff"
"9585",134748,32458,2013-01-28,5,219,-1,-1,219,3,4.5,1,3,0.0058,5.3,35,100,1,16458,1,5,2,0,1,1,-20.5531,115.17,1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,2013-01-28,2013-01-28,-1,-1,1,3,4.5,3,0.06985,2.65,100,-21.9014,0,0,0,0.0905803786699967,3.7476659402887,0,1.90678414614764,3,4.5,3,0.06985,2.65,100,-21.9014,0,0,"maandag",1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0.000318734242575883,1,1,0.6,1,1,0.50251256281407,1,1,-1,1,1,0.853462157809984,1,0,0,-1
"2495",33709,89785,2012-11-16,15,55,-1,-1,41,4,3,0,5.85,0.0528,5.19,31,93.71,0,23769,3,29,2,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,-1,-1,-1,-1,0,5,-1,-1,-1,0,-1,0,2012-11-16,2012-11-16,-1,-1,1,4,3,5.85,0.0528,5.19,93.71,-1,-1,-1,-1,-1,-1,-1,-1,4,3,5.85,0.0528,5.19,93.71,-1,0,0,"vrijdag",11,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0.137754127037794,1,1,0.8,1,1,0.933014354066986,1,1,0.6,1,1,0.875210792580101,1,-2,0,6.5
"4842",67233,228501,2013-01-24,5,219,-1,-1,219,4,4.5,1,5.16,0.2303,5.76,33,167,1,9402,1,3,2,0,1,0,-1,338.94,0,-1,-1,-1,1,0,12,1,0,12,-1,-1,-1,1,0,25,-1,-1,-1,-1,-1,-1,1,0,12,0,-1,0,2013-01-24,2013-01-24,-1,-1,1,4,4.5,5.16,-1,5.74,297.854,-1,0,0,0,-1,0.0141421356237306,121.930150414079,-1,4,4.5,5.16,-1,5.73,270.27,-1,0,0,"donderdag",1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0.000532286185101724,0.341513292433538,1,0.8,1,1,0.864321608040201,1,1,-1,1,1,0.927536231884058,1,4,0,15.25
"7352",103087,319191,2013-04-10,5,219,-1,-1,219,4,4.5,1,0.69,0.2803,5.14,1,169,0,13443,1,0,2,0,1,0,-1,2.95,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,5,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,2013-04-10,2013-04-10,-1,-1,1,4,4.5,0.69,0.2803,5.14,169,-1,-1,-1,-1,-1,-1,-1,-1,4,4.5,0.69,0.2803,5.14,169,-1,0,0,"woensdag",4,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0.000538660869953242,1,1,0.8,1,1,0.115577889447236,1,1,-1,1,1,0.827697262479871,1,1,0,5
"7833",109828,147704,2012-12-19,5,219,-1,-1,219,3,4.5,1,1.79,0.0032,4.81,9,145,0,19994,2,107,2,3,1,1,-1,130.73,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,2012-12-19,2012-12-19,-1,-1,1,3,4.5,1.79,0.0032,4.81,145,-1,-1,-1,-1,-1,-1,-1,-1,3,4.5,1.79,0.0032,4.81,145,-1,0,0,"woensdag",12,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0.00046216465173503,1,1,0.6,1,1,0.299832495812395,1,1,-1,1,1,0.774557165861514,1,0,0,-1
"850",11684,12829,2013-05-06,5,219,-1,-1,219,3,4.5,1,1.61,0.0571,5.32,8,179,0,14472,2,41,2,2,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,2013-05-06,2013-05-06,-1,-1,1,3,4.5,1.61,0.0571,5.32,179,-1,-1,-1,-1,-1,-1,-1,-1,3,4.5,1.61,0.0571,5.32,179,-1,0,0,"maandag",5,0,0,0,0,16.8253393665158,0,0,0,16.6749660479855,16.9979975971165,16.8808496515101,17.1233319854428,-1,-1,-1,1,0.00057053429421083,1,1,0.6,1,1,0.269681742043551,1,1,-1,1,1,0.856682769726248,1,0,0,-1
"3828",52446,34495,2013-05-22,5,205,-1,-1,117,4,4,1,4.16,0.2073,4.32,9,64,0,1141,2,54,4,0,2,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,2013-05-22,2013-05-22,-1,-1,1,4,4,4.16,0.2073,4.32,64,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4.16,0.2073,4.32,64,-1,0,0,"woensdag",5,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0.1729122200308,1,1,0.8,1,1,0.88135593220339,1,1,0.8,1,1,0.703583061889251,1,0,0,-1
"1195",16499,60963,2013-04-06,5,219,3.43,142.26,219,3,4,1,4.08,-1,5.3,25,116,0,23582,3,33,2,0,1,1,-1,2078.6,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,2013-04-06,2013-04-06,3.43,142.26,1,3,4,4.08,-1,5.2925,138.25,-1,0,0,0,-1,0.00499999999999989,34.2867807373824,-1,3,4,4.08,-1,5.29,124,-1,0,0,"zaterdag",4,0,0,0,0,16.8238310708899,0,0,0,0,16.994793752503,16.8788582807833,17.117266477962,-1,26.26,0.43,1,0.000369731721388024,0.613756613756614,1,0.6,1,1,0.683417085427136,1,1,-1,1,1,0.853462157809984,1,0,0,-1
"2216",29815,289173,2012-11-18,15,55,-1,-1,55,4,0,0,3.53,0.0913,5.36,30,192.19,0,442,5,147,2,0,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,2012-11-18,2012-11-18,-1,-1,1,4,0,3.53,0.0913,5.36,192.19,-1,-1,-1,-1,-1,-1,-1,-1,4,0,3.53,0.0913,5.36,192.19,-1,0,0,"zondag",11,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0.127531519575315,1,1,0.8,1,1,0.619298245614035,1,-1,-1,-1,1,0.863123993558776,1,0,0,-1
"3497",47594,265123,2013-02-10,5,219,-1,-1,219,3,4.5,1,0,-1,5.1,24,149,0,12154,5,178,2,2,1,0,-56.5454,820.71,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,2013-02-10,2013-02-10,-1,-1,2,3,4.5,0,-1,5.1,149,-56.5454,-1,-1,-1,-1,-1,-1,-1,3,4.5,0,-1,5.1,149,-56.5454,0,0,"zondag",2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0.000474914021438065,1,1,0.6,1,0,0,-1,1,-1,1,1,0.821256038647343,1,0,0,-1
