,activity,appCat.builtin_count,appCat.builtin_sum,appCat.communication_count,appCat.communication_sum,appCat.entertainment_count,appCat.entertainment_sum,appCat.finance_count,appCat.finance_sum,appCat.game_count,appCat.game_sum,appCat.office_count,appCat.office_sum,appCat.other_count,appCat.other_sum,appCat.social_count,appCat.social_sum,appCat.travel_count,appCat.travel_sum,appCat.unknown_count,appCat.unknown_sum,appCat.utilities_count,appCat.utilities_sum,appCat.weather_count,appCat.weather_sum,call,circumplex.arousal,circumplex.valence,mood,screen_count,screen_sum,sms
2014-02-17 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
2014-02-18 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
2014-02-19 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,2.0
2014-02-20 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0
2014-02-21 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0
2014-02-22 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0
2014-02-23 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2014-02-24 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2014-02-25 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0
2014-02-26 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.25,0.75,6.25,,,2.0
2014-02-27 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.3333333333333333,6.333333333333333,,,0.0
2014-02-28 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,0.0
2014-03-01 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0
2014-03-02 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2014-03-03 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0
2014-03-04 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2014-03-05 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0
2014-03-06 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0
2014-03-07 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,0.0
2014-03-08 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2014-03-09 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2014-03-10 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0
2014-03-11 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0
2014-03-12 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,1.0
2014-03-13 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,0.0
2014-03-14 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0
2014-03-15 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0
2014-03-16 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3.0
2014-03-17 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0
2014-03-18 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0
2014-03-19 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0
2014-03-20 00:00:00.000000000,0.08154761904761905,42.0,248.979,37.0,2168.229,6.0,350.856,,,,,,,2.0,11.345,11.0,807.731,,,1.0,45.173,2.0,21.073999999999998,,,1.0,,,,9.0,2275.9440002441406,0.0
2014-03-21 00:00:00.000000000,0.13405010398938863,220.0,3139.2180000000008,114.0,6280.890000000003,19.0,1007.456,8.0,49.544000000000004,,,3.0,172.20600000000002,8.0,239.75100000000003,60.0,4508.500000000001,13.0,915.4450000000002,0.0,0.0,26.0,598.7539999999999,,,6.0,0.2,0.2,6.2,117.0,17978.90700006484,0.0
2014-03-22 00:00:00.000000000,0.2368802192399581,94.0,731.4290000000001,96.0,4962.9180000000015,2.0,93.324,3.0,21.076,,,0.0,0.0,7.0,98.14300000000001,12.0,439.6319999999999,1.0,37.305,0.0,0.0,3.0,117.62100000000001,,,3.0,0.6,0.5,6.4,129.0,6142.160999536513,1.0
2014-03-23 00:00:00.000000000,0.14274111580506368,106.0,1286.246,98.0,5237.318999999999,3.0,94.346,4.0,43.403000000000006,,,0.0,0.0,6.0,72.82300000000001,18.0,900.8389999999999,0.0,0.0,0.0,0.0,1.0,30.086,1.0,30.386,0.0,0.2,0.8,6.8,101.0,6773.832001447676,0.0
2014-03-24 00:00:00.000000000,0.07896105611559798,174.0,866.9559999999996,195.0,9270.628999999999,8.0,976.971,6.0,34.106,,,1.0,3.01,6.0,66.55799999999999,43.0,3223.6259999999993,5.0,419.805,0.0,0.0,2.0,178.732,,,10.0,0.8,0.0,6.0,196.0,15047.351000547404,0.0
2014-03-25 00:00:00.000000000,0.09837411239050675,103.0,1032.7680000000003,148.0,10276.750999999998,2.0,68.206,4.0,43.053999999999995,,,0.0,0.0,6.0,178.81900000000002,28.0,1919.4709999999998,0.0,0.0,8.0,235.223,10.0,222.893,,,0.0,0.5,0.5,6.75,127.0,21475.354999065392,1.0
2014-03-26 00:00:00.000000000,0.10130832167007593,138.0,1167.4969999999996,191.0,8988.753,7.0,910.4789999999999,6.0,52.331,,,0.0,0.0,6.0,97.498,37.0,4592.058999999999,0.0,0.0,0.0,0.0,1.0,33.365,,,0.0,-0.2,0.6,6.6,174.0,16423.801000356674,0.0
2014-03-27 00:00:00.000000000,0.1595106409690975,154.0,1229.3269999999998,160.0,6936.512000000001,9.0,639.3389999999999,3.0,42.218999999999994,,,12.0,182.451,6.0,58.532,13.0,935.3810000000002,2.0,47.314,0.0,0.0,11.0,179.02899999999997,,,2.0,0.2,0.8,7.0,135.0,17442.14999938011,1.0
2014-03-28 00:00:00.000000000,0.09569802163712016,124.0,10062.595000000003,36.0,866.8329999999999,11.0,1005.403,7.0,89.166,2.0,233.03599999999997,0.0,0.0,6.0,225.951,20.0,512.741,19.0,1133.0089999999998,0.0,0.0,10.0,301.717,,,5.0,-0.6,0.6,6.4,88.0,4923.48899960518,0.0
2014-03-29 00:00:00.000000000,0.06820281010186964,83.0,1952.6299999999999,57.0,2720.6919999999996,15.0,1627.4289999999996,0.0,0.0,0.0,0.0,0.0,0.0,7.0,169.59399999999997,8.0,472.88800000000003,3.0,52.435,0.0,0.0,24.0,600.6370000000001,,,4.0,0.2,1.0,8.0,64.0,8322.621999740602,1.0
2014-03-30 00:00:00.000000000,0.049092970521542004,53.0,414.365,21.0,1298.505,9.0,1535.6770000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.0,74.003,3.0,167.685,0.0,0.0,2.0,66.477,1.0,38.296,,,0.0,-0.5,0.75,7.5,27.0,4523.2140009403265,0.0
2014-03-31 00:00:00.000000000,0.07050548088338955,174.0,2961.4050000000007,129.0,5332.637,34.0,1758.92,6.0,41.255,1.0,51.176,0.0,0.0,11.0,268.554,24.0,1350.6549999999997,5.0,183.38100000000003,1.0,29.29,17.0,210.30500000000004,,,6.0,0.0,0.6,7.4,124.0,11836.83400034904,0.0
