,datetime,temperature
0,2014-02-17,6.0
1,2014-02-18,6.0
2,2014-02-19,7.8
3,2014-02-20,8.2
4,2014-02-21,7.0
5,2014-02-22,6.6
6,2014-02-23,7.5
7,2014-02-24,7.8
8,2014-02-25,8.7
9,2014-02-26,6.7
10,2014-02-27,4.9
11,2014-02-28,5.4
12,2014-03-01,5.9
13,2014-03-02,6.2
14,2014-03-03,4.9
15,2014-03-04,5.2
16,2014-03-05,5.6
17,2014-03-06,6.5
18,2014-03-07,7.8
19,2014-03-08,8.7
20,2014-03-09,11.3
21,2014-03-10,9.8
22,2014-03-11,9.3
23,2014-03-12,8.3
24,2014-03-13,7.9
25,2014-03-14,6.7
26,2014-03-15,9.9
27,2014-03-16,10.5
28,2014-03-17,10.2
29,2014-03-18,9.3
30,2014-03-19,11.3
31,2014-03-20,12.9
32,2014-03-21,7.8
33,2014-03-22,6.6
34,2014-03-23,5.2
35,2014-03-24,5.6
36,2014-03-25,4.8
37,2014-03-26,4.5
38,2014-03-27,8.6
39,2014-03-28,11.0
40,2014-03-29,11.5
41,2014-03-30,12.3
42,2014-03-31,14.7
43,2014-04-01,12.7
44,2014-04-02,13.7
45,2014-04-03,15.2
46,2014-04-04,13.0
47,2014-04-05,11.9
48,2014-04-06,13.1
49,2014-04-07,15.6
50,2014-04-08,9.1
51,2014-04-09,10.7
52,2014-04-10,12.1
53,2014-04-11,11.3
54,2014-04-12,9.9
55,2014-04-13,10.5
56,2014-04-14,8.9
57,2014-04-15,7.2
58,2014-04-16,7.4
59,2014-04-17,10.9
60,2014-04-18,8.6
61,2014-04-19,11.2
62,2014-04-20,15.5
63,2014-04-21,12.4
64,2014-04-22,12.5
65,2014-04-23,13.4
66,2014-04-24,13.6
67,2014-04-25,17.1
68,2014-04-26,14.2
69,2014-04-27,11.6
70,2014-04-28,13.2
71,2014-04-29,13.8
72,2014-04-30,13.1
73,2014-05-01,13.0
74,2014-05-02,10.0
75,2014-05-03,8.4
76,2014-05-04,7.9
77,2014-05-05,12.2
78,2014-05-06,14.6
79,2014-05-07,12.7
80,2014-05-08,12.2
81,2014-05-09,12.5
82,2014-05-10,11.6
83,2014-05-11,10.2
84,2014-05-12,10.8
85,2014-05-13,10.3
86,2014-05-14,9.6
87,2014-05-15,10.1
88,2014-05-16,12.1
89,2014-05-17,14.2
90,2014-05-18,15.9
91,2014-05-19,18.4
92,2014-05-20,19.9
93,2014-05-21,18.1
94,2014-05-22,18.2
95,2014-05-23,16.4
96,2014-05-24,15.0
97,2014-05-25,16.0
98,2014-05-26,15.8
99,2014-05-27,15.6
100,2014-05-28,13.1
101,2014-05-29,10.4
102,2014-05-30,11.9
103,2014-05-31,13.3
104,2014-06-01,13.5
105,2014-06-02,14.0
106,2014-06-03,15.1
107,2014-06-04,14.6
108,2014-06-05,13.0
109,2014-06-06,16.3
110,2014-06-07,21.0
111,2014-06-08,20.0
112,2014-06-09,21.6
